album_sheet,number,excel_row,registry_name,doc_number,organization,original_status,found_name,folder,drive_url,original_note,final_status,placeholder,final_note,album_page_start,album_page_end,component_files,sources,archive_candidates
кронштейны,1,6,Паспорт качества на:,№ М-1818 от 06.05.2024 г.,"ООО ""Альтернатива""",ПОДШИТО,Паспорт качества б_№ от 06.05.2024 на кронштейны.pdf,Фасады,https://drive.google.com/file/d/1qPEaLOBYFkHgfXc_A30juxuK4ycLQUrP/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,3,4,001__Паспорт качества б_№ от 06.05.2024 на кронштейны.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1qPEaLOBYFkHgfXc_A30juxuK4ycLQUrP_Паспорт качества б_№ от 06.05.2024 на кронштейны.pdf"", ""label"": ""Паспорт качества б_№ от 06.05.2024 на кронштейны.pdf"", ""pages"": [], ""drive_id"": ""1qPEaLOBYFkHgfXc_A30juxuK4ycLQUrP"", ""sha256"": ""1a428054a0a44f91daccb4044ad954040cfd7be91d2f1884746632b27c11c2f3"", ""page_count"": 2}]",
кронштейны,2,21,"Сертификат соответствия на кронштейны, шайбы",№ РОСС RU.НЕ06.Н08901 с 30.06.2023 г. по 29.06.2026 г.,"ООО ""Альтернатива""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,Серт. соотв. РОСС RU.НЕ06.НО8901 на кронштейны Альтернатива.pdf,Фасады,https://drive.google.com/file/d/1X1K7h2lcr8MEtoKFADuw_c_JQny4wH9U/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,5,7,002__Серт. соотв. РОСС RU.НЕ06.НО8901 на кронштейны Альтернатива.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1X1K7h2lcr8MEtoKFADuw_c_JQny4wH9U_Серт. соотв. РОСС RU.НЕ06.НО8901 на кронштейны Альтернатива.pdf"", ""label"": ""Серт. соотв. РОСС RU.НЕ06.НО8901 на кронштейны Альтернатива.pdf"", ""pages"": [], ""drive_id"": ""1X1K7h2lcr8MEtoKFADuw_c_JQny4wH9U"", ""sha256"": ""5e6e07c674ef4c0e8f43d385eda8b3c8d75e6b609ea40d4310cae0d7339dab4d"", ""page_count"": 3}]",
кронштейны,3,22,Паспорт качества на анкер клиновой 10х100,б/н от 16.08.2024 г.,"ООО ""КРЕП-КОМП""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,"Паспорт качества б_№ на анкер клиновой d=10 мм, L=100 мм.pdf",Фасады,https://drive.google.com/file/d/1MkaBkmJHg1aqHUZygK3Yq26ljWGuNTA6/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,8,8,"003__Паспорт качества б_№ на анкер клиновой d=10 мм, L=100 мм.pdf","[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1MkaBkmJHg1aqHUZygK3Yq26ljWGuNTA6_Паспорт качества б_№ на анкер клиновой d=10 мм, L=100 мм.pdf"", ""label"": ""Паспорт качества б_№ на анкер клиновой d=10 мм, L=100 мм.pdf"", ""pages"": [], ""drive_id"": ""1MkaBkmJHg1aqHUZygK3Yq26ljWGuNTA6"", ""sha256"": ""764f859dc7400c2d9c2e9f553f689830c5b0708e4b74bec2f94cd56ff0cd0aab"", ""page_count"": 1}]",
кронштейны,4,23,Сертификат соответствия на крепежные элементы,№ РОСС RU.З2623.ОС03.02703 с 18.07.2023 г. по 17.07.2026 г.,"ООО ""КРЕП-КОМП""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,Сертификат соответствия №РОСС RU.32623.ОС03.02703 на крепёжные изделия_анкерная техника KREP-KOMP.pdf,Фасады,https://drive.google.com/file/d/1Ta-tvdd7GhjdNc28bpIbiqeBVGxWynfa/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,9,9,004__Сертификат соответствия №РОСС RU.32623.ОС03.02703 на крепёжные изделия_анкерная техника KREP-KOMP.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1Ta-tvdd7GhjdNc28bpIbiqeBVGxWynfa_Сертификат соответствия №РОСС RU.32623.ОС03.pdf"", ""label"": ""Сертификат соответствия №РОСС RU.32623.ОС03.02703 на крепёжные изделия_анкерная техника KREP-KOMP.pdf"", ""pages"": [], ""drive_id"": ""1Ta-tvdd7GhjdNc28bpIbiqeBVGxWynfa"", ""sha256"": ""d1ea05395496dd330cef6e81d15422a1f0d2429c037a53cf7f13c2b64d401ad3"", ""page_count"": 1}]",
кронштейны,5,24,Сертификат соответствия на крепежные элементы,№ РОСС RU.ОС01.00704 с 27.12.2022 г. по 26.12.2025 г.,"ООО ""ГК ""ФИКСАР""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,Сертификат соответствия № РОСС RU.ОС01.00704 на анкер.pdf,Фасады,https://drive.google.com/file/d/14kuy-IlN6DQhr99kKoA-vedsCDuiSrXg/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,10,11,005__Сертификат соответствия № РОСС RU.ОС01.00704 на анкер.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/14kuy-IlN6DQhr99kKoA-vedsCDuiSrXg_Сертификат соответствия № РОСС RU.ОС01.00704 на анкер.pdf"", ""label"": ""Сертификат соответствия № РОСС RU.ОС01.00704 на анкер.pdf"", ""pages"": [], ""drive_id"": ""14kuy-IlN6DQhr99kKoA-vedsCDuiSrXg"", ""sha256"": ""db4a228e67d593e35c1d098b6538fe30a81549312df7c2746730b8dfb8c40560"", ""page_count"": 2}]",
кронштейны,6,25,Исполнительная схема монтажа кронштейнов на фасаде в/о 1/Т-Е,,"ООО ""ОСВ-Строй""",ПОДШИТО,ИС кронштейнов фасад в_о 1_Е-Т.pdf,Анохин / Фасад в осях 1_Е-Т,https://drive.google.com/file/d/1odIqvZCd65Tz7PrqBUJJF_chP6A9hQQn/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,12,12,006__ИС кронштейнов фасад в_о 1_Е-Т.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1odIqvZCd65Tz7PrqBUJJF_chP6A9hQQn_ИС кронштейнов фасад в_о 1_Е-Т.pdf"", ""label"": ""ИС кронштейнов фасад в_о 1_Е-Т.pdf"", ""pages"": [], ""drive_id"": ""1odIqvZCd65Tz7PrqBUJJF_chP6A9hQQn"", ""sha256"": ""cc17de6392deeba00e124e7b49af53559a1ac9fa8adbc6817178ab6e0e146a29"", ""page_count"": 1}]",
кронштейны,7,26,Исполнительная схема монтажа кронштейнов на фасаде в/о 1-7/Е-Ж,,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,ИС кронштейнов фасада в_о 1-7_Е-Ж.pdf,Анохин / Фасад в осях 1-7_Е-Ж,https://drive.google.com/file/d/1ql6MSuGgvdqfFcNMfy6tlpeJSxUG34U8/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,13,13,007__ИС кронштейнов фасада в_о 1-7_Е-Ж.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1ql6MSuGgvdqfFcNMfy6tlpeJSxUG34U8_ИС кронштейнов фасада в_о 1-7_Е-Ж.pdf"", ""label"": ""ИС кронштейнов фасада в_о 1-7_Е-Ж.pdf"", ""pages"": [], ""drive_id"": ""1ql6MSuGgvdqfFcNMfy6tlpeJSxUG34U8"", ""sha256"": ""11f2e948fae47cebab4c4381ea5e9310751043b19ffc006673e30b276f040dcc"", ""page_count"": 1}]",
кронштейны,8,27,Исполнительная схема монтажа кронштейнов на фасаде в/о 17-1/Т (лист 1),,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,ИС кронштейнов на фасаде в_о 17-1_Т лист 1.pdf,Анохин / Фасад в осях 17-1_Т,https://drive.google.com/file/d/1eS58F7_6j8u9_UUaU5730PIA36anyxHd/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,14,14,008__ИС кронштейнов на фасаде в_о 17-1_Т лист 1.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1eS58F7_6j8u9_UUaU5730PIA36anyxHd_ИС кронштейнов на фасаде в_о 17-1_Т лист 1.pdf"", ""label"": ""ИС кронштейнов на фасаде в_о 17-1_Т лист 1.pdf"", ""pages"": [], ""drive_id"": ""1eS58F7_6j8u9_UUaU5730PIA36anyxHd"", ""sha256"": ""62f0331204fe2bbffb606454d081d6644a8e7c77a56f3f09d1b90d473270612a"", ""page_count"": 1}]",
кронштейны,9,28,Исполнительная схема монтажа кронштейнов на фасаде в/о 17-1/Т (лист 2),,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,ИС кронштейнов на фасаде в_о 17-1_Т лист 2.pdf,Анохин / Фасад в осях 17-1_Т,https://drive.google.com/file/d/1ezmlFUneM_7TRL6ftrL7sV8_ha4mfpZc/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,15,15,009__ИС кронштейнов на фасаде в_о 17-1_Т лист 2.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1ezmlFUneM_7TRL6ftrL7sV8_ha4mfpZc_ИС кронштейнов на фасаде в_о 17-1_Т лист 2.pdf"", ""label"": ""ИС кронштейнов на фасаде в_о 17-1_Т лист 2.pdf"", ""pages"": [], ""drive_id"": ""1ezmlFUneM_7TRL6ftrL7sV8_ha4mfpZc"", ""sha256"": ""ff0cb8181581ea9574433155b88f1abab1a4a0d624398e1f28dca5784d8407c0"", ""page_count"": 1}]",
кронштейны,10,29,Исполнительная схема монтажа кронштейнов на фасаде в/о 17-1/Т (лист 3),,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,ИС кронштейнов на фасаде в_о 17-1_Т лист 3.pdf,Анохин / Фасад в осях 17-1_Т,https://drive.google.com/file/d/1D8l7le4OrYqi47ZI5XZHlBDRcFhtAy5X/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,16,16,010__ИС кронштейнов на фасаде в_о 17-1_Т лист 3.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1D8l7le4OrYqi47ZI5XZHlBDRcFhtAy5X_ИС кронштейнов на фасаде в_о 17-1_Т лист 3.pdf"", ""label"": ""ИС кронштейнов на фасаде в_о 17-1_Т лист 3.pdf"", ""pages"": [], ""drive_id"": ""1D8l7le4OrYqi47ZI5XZHlBDRcFhtAy5X"", ""sha256"": ""932e99f7f3f3430f1cccc4139c1dee3d8481b7c2f69baef80cb08097c133b21d"", ""page_count"": 1}]",
